Feature	Gain	Cover	Frequency
modelito_111	0.525443550308624	0.365444034446079	0.210300429184549
modelito_112	0.393357802821655	0.232739791878381	0.141630901287554
modelito_110	0.0217586534959723	0.0282010184046755	0.0214592274678112
modelito_109	0.0162080789423172	0.0163638511298514	0.0171673819742489
modelito_100	0.013470900905341	0.1000075049813	0.0686695278969957
modelito_102	0.00560873520521882	0.009625580643514	0.0128755364806867
modelito_101	0.00489634778587291	0.0218671358697094	0.0171673819742489
modelito_103	0.00294841585369024	0.0304060642248722	0.0214592274678112
modelito_104	0.002864409753618	0.0169994494717311	0.0128755364806867
foto_mes	0.00274790094485277	0.0235180839891779	0.0686695278969957
modelito_106	0.00159399055382004	0.019252436942599	0.0214592274678112
mdescubierto_preacordado__tend	0.00100388834269837	0.0137052577877677	0.0214592274678112
Master_fechaalta__tend	0.000844436359115985	0.0118332412188987	0.0300429184549356
Visa_fultimo_cierre	0.0006097743747243	0.00671920094035104	0.0171673819742489
Visa_Fvencimiento__tend	0.000442000406767154	0.00746624926913496	0.0171673819742489
mv_fechaalta__tend	0.000441485663967322	0.00695418736036971	0.0171673819742489
Visa_fultimo_cierre__avg	0.000441022049683211	0.00652507525524618	0.0171673819742489
mv_fultimo_cierre	0.000384719990987499	0.00300495668676039	0.0128755364806867
Master_fultimo_cierre__tend	0.000353635778957098	0.00656488477340586	0.0171673819742489
mcuenta_debitos_automaticos__max	0.000349293210133726	0.00405042252645506	0.0171673819742489
mv_tconsumos__avg	0.000277051841090839	0.00247880209884592	0.0128755364806867
mdescubierto_preacordado	0.00023728101122499	0.00601121027083108	0.0128755364806867
ttarjeta_debito__min	0.000206461942348816	0.00166353263512756	0.00858369098712446
mcajeros_propio__max	0.000180847782030494	0.00447642141966728	0.00858369098712446
mv_mlimitecompra__tend	0.000177125323084082	0.00491457190873499	0.00858369098712446
mv_Fvencimiento__tend	0.000174795844497339	0.00211838371491519	0.00858369098712446
mextraccion_autoservicio__tend	0.000156306626570234	0.00204746986325929	0.00858369098712446
mvr_mpagospesos__avg	0.000143316146571127	0.00203254303204253	0.00858369098712446
mcomisiones_otras	0.000137367123876759	0.00267058226144221	0.00858369098712446
mcuentas_saldo	0.00010820569542194	0.00108290215052645	0.00429184549356223
Visa_mpagado__tend	0.000101921682260169	0.00111451962799752	0.00429184549356223
modelito_107	0.000100478767676531	0.000884414402107078	0.00429184549356223
Visa_mpagominimo__min	9.77479539133982e-05	0.00270178867889659	0.00429184549356223
ccomisiones_mantenimiento__avg	9.55331878131078e-05	0.000807541505165199	0.00429184549356223
Visa_mpagospesos__max	9.47792567816541e-05	0.00189800809688481	0.00429184549356223
marketing_coss_selling	8.94237074095496e-05	0.00220261592490545	0.00429184549356223
Visa_mpagosdolares	8.90869702828219e-05	0.0020379125978425	0.00429184549356223
mcajeros_propio__avg	8.78748313519173e-05	0.000891603882038543	0.00429184549356223
mvr_msaldopesos__avg	8.38183433582346e-05	0.00146714747671777	0.00429184549356223
mcomisiones__tend	8.3278538147434e-05	0.00145876236644419	0.00429184549356223
ccomisiones_otras	8.25286267782474e-05	0.00106866339463109	0.00429184549356223
mv_tconsumos__max	8.24860745601808e-05	0.000491924456086748	0.00429184549356223
Visa_mpagosdolares__tend	8.10219767229294e-05	0.00116094598773685	0.00429184549356223
mrentabilidad__max	8.0250369562646e-05	0.00140092304670934	0.00429184549356223
Visa_msaldototal__min	7.98561304952071e-05	0.000456042259125934	0.00429184549356223
Visa_mfinanciacion_limite__min	7.90875179222237e-05	0.00175333872737771	0.00429184549356223
Visa_mconsumospesos__tend	7.82649930035871e-05	0.00238423583043358	0.00429184549356223
mcuentas_saldo__max	7.80947596956836e-05	0.00100327485412017	0.00429184549356223
cextraccion_autoservicio__tend	7.80092123636319e-05	0.000988910385219003	0.00429184549356223
Visa_mfinanciacion_limite__avg	7.78012504323824e-05	0.00175618443608185	0.00429184549356223
mv_mconsumospesos	7.73333311999436e-05	0.000453731869838766	0.00429184549356223
mvr_mpagado	7.73173735072777e-05	0.00152917627328792	0.00429184549356223
chomebanking_transacciones__avg	7.64505718255015e-05	0.000607081495204879	0.00429184549356223
mvr_msaldopesos__max	7.59132828744088e-05	0.000714136301522444	0.00429184549356223
mcomisiones_mantenimiento__avg	7.50964905561847e-05	0.00114210102380586	0.00429184549356223
mplan_sueldo__avg	7.48685805927664e-05	0.00208409384202197	0.00429184549356223
modelito_105	7.45986779873661e-05	0.00124577584976543	0.00429184549356223
Visa_Fvencimiento__avg	7.45624173349057e-05	0.00107515743572114	0.00429184549356223
Visa_msaldopesos__min	7.14822356643412e-05	0.000958851111873904	0.00429184549356223
mactivos_margen__tend	3.32308031925029e-05	0.00151628970476453	0.00429184549356223
