"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"modelito_112"	0.35762175203505	0.0318935233086535	0.0094653945176435
"2"	"modelito_111"	0.209567685685143	0.0476512795830994	0.0137058912615478
"3"	"modelito_109"	0.08185671495004	0.0115392123022172	0.00333181887021051
"4"	"mdescubierto_preacordado__tend"	0.0632647062022727	0.00456752686281976	0.0017416325912464
"5"	"mcuentas_saldo"	0.0274771229195047	0.00349815041903343	0.00537634408602151
"6"	"marketing_coss_selling__min"	0.0163527063847257	0.00160984521778464	0.00249886415265788
"7"	"modelito_100"	0.01337636269838	0.021979589240484	0.0094653945176435
"8"	"Visa_cuenta_estado__avg"	0.00795709918673281	0.000668172738426397	0.000832954717552628
"9"	"modelito_106"	0.00646688122541351	0.019070400749969	0.00628502195971528
"10"	"modelito_110"	0.00536286424175564	0.00695376023693462	0.00272603362108133
"11"	"foto_mes"	0.00480629435497103	0.0203971391695791	0.0131758291685597
"12"	"modelito_103"	0.0043277880139807	0.00784307905476632	0.00530062092988036
"13"	"modelito_102"	0.00423312422003135	0.0109204943269807	0.00424049674390429
"14"	"mdescubierto_preacordado__avg"	0.00410826123847339	0.000501558733400556	0.000832954717552628
"15"	"Visa_Finiciomora__max"	0.00338242398275865	3.10685034719242e-05	0.000605785249129184
"16"	"modelito_101"	0.00316247991657909	0.0016853147301471	0.00227169468423444
"17"	"tmovimientos_ultimos90dias__min"	0.00295277308437839	0.00138798540640648	0.00257458730879903
"18"	"Visa_mpagominimo"	0.00220576435263941	4.091305531339e-05	0.00143873996668181
"19"	"mcuenta_corriente_Paquete__tend"	0.00204022034772425	0.00183902395174757	0.00325609571406936
"20"	"modelito_104"	0.00202453216799509	0.00348713347373215	0.00310464940178707
"21"	"marketing_coss_selling"	0.0019347970779129	0.00313205422393153	0.00340754202635166
"22"	"mprestamos_personales__tend"	0.0018531451182411	0.00464518111249745	0.00401332727548084
"23"	"modelito_105"	0.00185228679166961	0.00313271246345515	0.00355898833863395
"24"	"mprestamos_personales"	0.00166603270313831	0.00473364322819287	0.00431621990004543
"25"	"mcuentas_saldo__tend"	0.00150032656097042	0.00201281976932477	0.0036347114947751
"26"	"tplan_sueldo__min"	0.00131059862354597	0.00176187330924482	0.000984401029834924
"27"	"cprestamos_personales__avg"	0.00113146860125333	0.00159965601985212	0.0017416325912464
"28"	"marketing_coss_selling__tend"	0.00112020270046526	0.00730604406152688	0.00340754202635166
"29"	"chomebanking_transacciones__tend"	0.00110852099134878	0.00598661382003729	0.00530062092988036
"30"	"Visa_mpagospesos__tend"	0.00101503983865488	0.00530391394067811	0.00477055883689232
"31"	"tcajas_depositos__tend"	0.00100705829284707	0.00376473307530966	0.00280175677722247
"32"	"tmovimientos_ultimos90dias__tend"	0.000991721728349091	0.00260233978261786	0.00431621990004543
"33"	"tmovimientos_ultimos90dias__avg"	0.000950321423535884	0.000437702776697464	0.00219597152809329
"34"	"Master_fultimo_cierre__tend"	0.000914606124804004	0.000768559755320844	0.00340754202635166
"35"	"mcuenta_corriente_Paquete__min"	0.000911828707325837	0.00247001412865955	0.00340754202635166
"36"	"mv_fultimo_cierre__tend"	0.000911478128901995	0.0066241780071374	0.00469483568075117
"37"	"mplan_sueldo__tend"	0.000903563881762483	0.00953782017999453	0.00386188096319855
