"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"mcaja_ahorro_Paquete"	0.176316132572482	0.0159726242951533	0.00520471894517696
"2"	"tmovimientos_ultimos90dias"	0.111962010862638	0.0154759009735311	0.00631505898681471
"3"	"ttarjeta_visa__tend"	0.0920077141119159	0.003218307924956	0.00166551006245663
"4"	"mtarjeta_visa_consumo"	0.0474053802199396	0.0161562632293243	0.00499653018736988
"5"	"mcuentas_saldo"	0.0432600458048272	0.0183063017215302	0.00936849410131853
"6"	"cliente_antiguedad__tend"	0.0329521825285597	0.033418415429397	0.00784177654406662
"7"	"mv_Finiciomora"	0.0260393000481084	0.0102807309819665	0.00603747397640527
"8"	"mprestamos_personales"	0.025949583449311	0.0258746909560628	0.0149895905621096
"9"	"mdescubierto_preacordado"	0.0163031901087508	0.00745963860801436	0.00263705759888966
"10"	"Visa_marca_atraso__tend"	0.0140191848297463	0.00162842784811799	0.00145732130464955
"11"	"ttarjeta_visa"	0.0129001354783321	0.000236857919955252	0.000485773768216516
"12"	"tplan_sueldo"	0.0123461435249229	0.0171122651392352	0.00506592643997224
"13"	"mv_marca_atraso"	0.0117821250083255	0.0047610509533865	0.00166551006245663
"14"	"marketing_coss_selling__tend"	0.00978305930770342	0.0151803323975645	0.00617626648160999
"15"	"mdescubierto_preacordado__tend"	0.00826475605760418	0.00190456463454819	0.00284524635669674
"16"	"mplan_sueldo"	0.00814535106808062	0.0175016313410662	0.00645385149201943
"17"	"mcuenta_corriente_Paquete"	0.00722858379876309	0.00978830187598399	0.00909090909090909
"18"	"ctarjeta_visa_transacciones"	0.00705502691628539	0.00548424631590916	0.00381679389312977
"19"	"mcuentas_saldo__tend"	0.0067911346026891	0.00601508032393065	0.00610687022900763
"20"	"marketing_coss_selling"	0.00661747495658682	0.00872735020761116	0.00610687022900763
"21"	"marketing_coss_selling__min"	0.00656755545460072	0.000342898956080793	0.00194309507286607
"22"	"tmovimientos_ultimos90dias__tend"	0.00582428877891084	0.00911222411801064	0.00700902151283831
"23"	"tplan_sueldo__min"	0.00548213889407116	0.005584571464877	0.00208188757807078
"24"	"ttarjeta_visa__avg"	0.00544370913798582	0.000210258729916434	0.000971547536433033
"25"	"mpasivos_margen"	0.00530586360662683	0.00507350862886747	0.00374739764052741
"26"	"ccomisiones_mantenimiento__tend"	0.0052933948725068	0.00963910869727162	0.00742539902845246
"27"	"mv_mpagospesos"	0.00528124145048743	0.0010168422302368	0.00117973629424011
"28"	"Visa_Finiciomora"	0.00458040912760251	0.00187524374935582	0.00284524635669674
"29"	"Visa_cuenta_estado"	0.00448887788422872	7.9779819231499e-05	0.000763358778625954
"30"	"mplan_sueldo__tend"	0.00419586568244709	0.0132102571127298	0.00645385149201943
"31"	"mv_msaldototal"	0.00411023153708857	0.00131445178133937	0.00180430256766135
"32"	"mprestamos_personales__tend"	0.00371654974096772	0.00195795722283597	0.00471894517696044
"33"	"mv_msaldopesos"	0.00347435619863523	0.00315939267710974	0.00263705759888966
"34"	"mactivos_margen__min"	0.00342453102547629	0.00256326111967038	0.00277585010409438
"35"	"mplan_sueldo__avg"	0.00340529082106768	0.00327130297544944	0.0025676613462873
"36"	"mv_mpagominimo"	0.00340080146167888	0.0055623519032446	0.00492713393476752
"37"	"mvr_mpagospesos"	0.00321730080125118	0.000272664576255065	0.0029146426092991
"38"	"mcuenta_corriente_Paquete__tend"	0.00319315822485334	0.00530976296891548	0.00645385149201943
"39"	"mttarjeta_visa_debitos_automaticos__tend"	0.00283617808746459	0.00723284190996702	0.00617626648160999
"40"	"ttarjeta_visa_debitos_automaticos__tend"	0.0024007409203041	0.00157735185386779	0.00360860513532269
"41"	"mrentabilidad"	0.00239678547693514	0.000918137934702188	0.00360860513532269
"42"	"mdescubierto_preacordado__min"	0.00233843419903445	0.000495242073615967	0.000763358778625954
"43"	"mv_marca_atraso__tend"	0.00232841314252522	0.00174147021742639	0.00270645385149202
"44"	"Visa_mpagominimo"	0.00203271013342034	0.002258752538644	0.00374739764052741
"45"	"ctarjeta_visa_transacciones__tend"	0.0020064779448135	0.00726972672246658	0.00381679389312977
"46"	"mactivos_margen"	0.00200455000426036	0.00219265927940838	0.00492713393476752
"47"	"mautoservicio"	0.00200303761662332	0.00728098126944679	0.00201249132546842
"48"	"tcaja_seguridad"	0.00196531669043868	0.0133831934645896	0.00270645385149202
"49"	"mpagomiscuentas"	0.00185813515202218	0.0081708940609785	0.00180430256766135
"50"	"mpasivos_margen__tend"	0.00184249752497809	0.000802787404248369	0.00374739764052741
"51"	"mprestamos_personales__max"	0.00181282953288032	0.000563714509187288	0.00201249132546842
"52"	"mv_mpagominimo__tend"	0.00179387756576351	0.00149163124777495	0.0029146426092991
"53"	"mtarjeta_master_consumo"	0.00177387812463677	0.00718149628422723	0.00159611380985427
"54"	"mcuenta_corriente_Paquete__min"	0.00175416122207444	0.00765580447749754	0.00444136016655101
"55"	"tplazo_fijo"	0.0017120154001645	0.0174139271348594	0.00284524635669674
"56"	"foto_mes"	0.00170167749930634	0.0153866099550096	0.0054823039555864
"57"	"chomebanking_transacciones__tend"	0.0016999805206178	0.00947671293836769	0.00506592643997224
"58"	"mvr_msaldopesos__tend"	0.00165911850826231	0.000280468248003551	0.00187369882026371
"59"	"ccallcenter_transacciones"	0.00154769879298144	0.00787959709051626	0.00340041637751561
