"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"modelito_109"	0.29741887302068	0.0166592974035348	0.00434087274388851
"2"	"modelito_111"	0.173704997019755	0.0472809104543261	0.013251085218186
"3"	"modelito_112"	0.16667283333965	0.0279102213260233	0.00807250019038916
"4"	"ttarjeta_visa__tend"	0.0491896166970846	0.00271507903016579	0.000609245297387861
"5"	"mcuentas_saldo"	0.0272128472620596	0.00308391457086908	0.00449318406823547
"6"	"modelito_110"	0.0186377259254907	0.00971020299136353	0.00266544817607189
"7"	"modelito_100"	0.0136791340629198	0.0247114326229643	0.00807250019038916
"8"	"marketing_coss_selling"	0.0124957534353597	0.00429098410427151	0.00380778310867413
"9"	"mdescubierto_preacordado__min"	0.0104585879927254	0.00104198274605055	0.000456933973040896
"10"	"modelito_102"	0.010302221040816	0.0108557493218218	0.00365547178432716
"11"	"modelito_106"	0.00909038360554274	0.0154392218197265	0.00594014164953164
"12"	"modelito_101"	0.00664428888170028	0.001613236474749	0.00251313685172493
"13"	"foto_mes"	0.00477226809221154	0.0195818133836607	0.0120325946234103
"14"	"modelito_103"	0.00461520925804291	0.00394284868616412	0.00510242936562333
"15"	"Visa_Finiciomora"	0.00426323886001552	0.00154613729120283	0.00159926890564313
"16"	"mvr_msaldopesos__avg"	0.00372120196127693	0.000446047611464755	0.00106617927042876
"17"	"modelito_105"	0.00257286510573103	0.00247216651200615	0.00388393877084761
"18"	"mactivos_margen"	0.00236540545045369	0.00112714208419783	0.00266544817607189
"19"	"mcuentas_saldo__tend"	0.00221860108775489	0.000847209365438271	0.0039600944330211
"20"	"mcuenta_corriente_Paquete__tend"	0.00179087336710727	0.00295494120122613	0.00418856141954154
"21"	"mcuenta_corriente_Paquete"	0.00176204282668421	0.00130859016125334	0.002208514203031
"22"	"ccajeros_propio_transacciones"	0.00168113563877134	0.000127895619965877	0.000913867946081791
"23"	"mv_marca_atraso__tend"	0.00142421582971451	0.000175804726266652	0.000609245297387861
"24"	"Master_fultimo_cierre__tend"	0.0012806581502671	0.000886078454370138	0.00456933973040896
"25"	"mcuentas_saldo__min"	0.00125374133692257	0.00163066719229654	0.00319853781128627
