"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"mdescubierto_preacordado__tend"	0.332780856778882	0.0194017682927679	0.00699815837937385
"2"	"mcuentas_saldo"	0.14942881034714	0.027417420795068	0.0191528545119705
"3"	"mtarjeta_visa_consumo"	0.0724367422027477	0.0104240685306605	0.00331491712707182
"4"	"mprestamos_personales"	0.0332569114054369	0.0147027067345503	0.00626151012891344
"5"	"mv_Finiciomora"	0.0265304187737252	0.0123703248243436	0.00773480662983425
"6"	"cliente_antiguedad__tend"	0.0193299737981855	0.022566973126088	0.00257826887661142
"7"	"marketing_coss_selling__tend"	0.0144793410183811	0.0133825320056931	0.00736648250460405
"8"	"tmovimientos_ultimos90dias"	0.0141758612735771	0.00756547426161541	0.00478821362799263
"9"	"mdescubierto_preacordado__avg"	0.0140034691908804	0.0204658377712172	0.00957642725598527
"10"	"cextraccion_autoservicio"	0.0137878702511696	0.000483535048445217	0.00220994475138122
"11"	"mplan_sueldo__min"	0.0127886464131521	0.00851326279173755	0.00147329650092081
"12"	"mplan_sueldo"	0.0126031929805466	0.0109551762893663	0.00147329650092081
"13"	"ttarjeta_visa__min"	0.00947023893155957	0.00370035457014209	0.000736648250460405
"14"	"tplan_sueldo__min"	0.00858506007326612	0.013638237346692	0.00184162062615101
"15"	"mdescubierto_preacordado__max"	0.00783820254362962	0.00799949794965486	0.00257826887661142
"16"	"mcaja_ahorro_Paquete"	0.00772385592457998	0.00689162743918072	0.00662983425414365
"17"	"Visa_mpagominimo__avg"	0.00755991001048554	0.0033685965495932	0.00147329650092081
"18"	"mautoservicio"	0.00717937198663997	0.00919810510179283	0.00257826887661142
"19"	"tplan_sueldo"	0.00631796597345101	0.00847642269760417	0.00147329650092081
"20"	"tmovimientos_ultimos90dias__max"	0.00569701921746637	0.00696222523521412	0.00257826887661142
"21"	"tmovimientos_ultimos90dias__tend"	0.00503889607418637	0.0113942360147227	0.00662983425414365
"22"	"mv_mpagospesos"	0.00497707409277065	0.00417121908083583	0.00110497237569061
"23"	"mv_marca_atraso__tend"	0.00480286471096377	0.0057614671936085	0.00220994475138122
"24"	"ttarjeta_visa__tend"	0.00478755953672741	0.0016718745766509	0.000368324125230203
"25"	"mv_Finiciomora__max"	0.00388948944680888	0.00442096958242582	0.00441988950276243
"26"	"mv_fechaalta__max"	0.00384745822626093	0.000476816879779295	0.00147329650092081
"27"	"mplan_sueldo__tend"	0.00367311165202615	0.0111899104940292	0.00515653775322284
"28"	"Visa_marca_atraso"	0.00336896400831016	0.00160518277456575	0.000368324125230203
"29"	"mrentabilidad"	0.00325147190929066	0.00289773615130853	0.00441988950276243
"30"	"cprestamos_personales"	0.00317654833226659	0.00919835665897684	0.00441988950276243
"31"	"marketing_coss_selling"	0.00294224129737172	0.00701367573738158	0.00331491712707182
"32"	"mcuentas_saldo__tend"	0.00288743434892196	0.00917721104344482	0.00441988950276243
"33"	"mcaja_ahorro_Paquete__avg"	0.00271616730758981	0.0045298386389046	0.00331491712707182
"34"	"mpasivos_margen"	0.00250968955398806	0.00787103201052411	0.00699815837937385
"35"	"mcuentas_saldo__min"	0.00250106621381247	0.00542666820081148	0.00883977900552486
"36"	"mv_msaldopesos"	0.00249110390269772	0.00433714809203531	0.00331491712707182
"37"	"ctarjeta_master_transacciones"	0.00246866330141028	0.000243816390160475	0.000736648250460405
"38"	"tplan_sueldo__avg"	0.00245983180618673	0.00520947100284701	0.00184162062615101
"39"	"Visa_cuenta_estado"	0.00242790189213498	0.00488707800046256	0.00405156537753223
"40"	"mprestamos_personales__avg"	0.00242733700881724	0.00338813424276954	0.00478821362799263
