"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"modelito_111"	0.671392242829048	0.258097900364598	0.12
"2"	"modelito_112"	0.141739814129991	0.176543956598102	0.0872727272727273
"3"	"mdescubierto_preacordado__min"	0.0945918197705407	0.0111534774193029	0.0254545454545455
"4"	"modelito_109"	0.0176291663671644	0.0368633833422591	0.0145454545454545
"5"	"mdescubierto_preacordado__avg"	0.0164827389705985	0.0538749608808618	0.0472727272727273
"6"	"mcuentas_saldo"	0.0079062462504162	0.0339168314453276	0.0509090909090909
"7"	"modelito_103"	0.00731215686564889	0.0274196139720992	0.0218181818181818
"8"	"modelito_106"	0.00525089967671925	0.0372489072357892	0.0254545454545455
"9"	"modelito_100"	0.00331764297182164	0.0557514513335992	0.0472727272727273
"10"	"modelito_104"	0.00271518190740457	0.00440029787809694	0.00363636363636364
"11"	"marketing_coss_selling__min"	0.00267401892924896	0.0040045630369648	0.00727272727272727
"12"	"foto_mes"	0.00259419749779325	0.0371888692776545	0.0727272727272727
"13"	"modelito_105"	0.0023379217422456	0.0191973490794627	0.0109090909090909
"14"	"mdescubierto_preacordado__max"	0.00210819943235416	0.00354355581464399	0.00363636363636364
"15"	"mcuentas_saldo__tend"	0.00202420178022365	0.0257053787712253	0.0254545454545455
"16"	"mdescubierto_preacordado__tend"	0.00198862381088786	0.00839137320802547	0.0181818181818182
"17"	"marketing_coss_selling"	0.00192993507651835	0.0292592629723517	0.0327272727272727
"18"	"Visa_cuenta_estado__tend"	0.00184267253441848	0.00672426856303814	0.00727272727272727
"19"	"Visa_cuenta_estado"	0.00150404472682154	0.0186379153234787	0.0145454545454545
"20"	"modelito_101"	0.00116042992680349	0.00179692357623764	0.00727272727272727
"21"	"mdescubierto_preacordado"	0.00107634011338987	0.00557670761915321	0.0181818181818182
"22"	"cprestamos_personales"	0.000913138221639925	0.002053166855186	0.00727272727272727
"23"	"mv_Finiciomora"	0.000759756504157577	0.0157754615793339	0.0109090909090909
"24"	"Visa_mfinanciacion_limite__tend"	0.000739927737540386	0.00772797686396301	0.0109090909090909
"25"	"mprestamos_personales"	0.000716346956072719	0.00204620964068983	0.00727272727272727
"26"	"mcuenta_corriente_Paquete__tend"	0.000462174961418558	0.00332662729108781	0.00727272727272727
"27"	"mcuenta_corriente_Paquete"	0.000419984189534335	0.00456969475468072	0.0109090909090909
"28"	"mvr_mpagominimo__max"	0.000414506771169945	0.000251446727411631	0.00363636363636364
"29"	"tmovimientos_ultimos90dias__avg"	0.000402210974722852	0.00188891631761066	0.00727272727272727
"30"	"mplan_sueldo"	0.000390498792509521	0.00829937774486424	0.00727272727272727
"31"	"mv_marca_atraso__tend"	0.000307931013900535	0.00901318299265514	0.00727272727272727
"32"	"thomebanking"	0.000290418729888559	0.00343151463113808	0.00727272727272727
"33"	"mpasivos_margen"	0.000276595867741012	0.00160928671550247	0.00727272727272727
"34"	"mrentabilidad__min"	0.000246269938893678	0.0015405433480727	0.00727272727272727
"35"	"tmovimientos_ultimos90dias__min"	0.000212159116430363	0.00132430474339283	0.00363636363636364
"36"	"mactivos_margen__min"	0.000193306545795764	0.00182833640817323	0.0109090909090909
"37"	"tcajas_depositos__tend"	0.000191107826801382	0.0037564425734297	0.00363636363636364
"38"	"mactivos_margen__tend"	0.00018720750132686	0.00185575310646669	0.0109090909090909
"39"	"mcomisiones__min"	0.000180191932200315	0.0010088081420201	0.00727272727272727
"40"	"mvr_mpagospesos__max"	0.000168359055266772	0.00573040762487109	0.00363636363636364
"41"	"marketing_coss_selling__tend"	0.000156149144385163	0.00201730810363764	0.00727272727272727
"42"	"mv_mfinanciacion_limite__avg"	0.000155587652655457	0.00127723699521192	0.00363636363636364
"43"	"Master_fultimo_cierre__tend"	0.000155045623549141	0.0056730848668264	0.0109090909090909
"44"	"mactivos_margen"	0.000140624651065962	0.00771738186087772	0.00363636363636364
"45"	"chomebanking_transacciones__max"	0.000137755584992297	0.00155682472505109	0.00727272727272727
"46"	"mcuenta_corriente_Paquete__avg"	0.00013596676338427	0.000271837370903954	0.00363636363636364
"47"	"modelito_110"	0.000127884389155981	0.00283169219285923	0.00727272727272727
"48"	"tcajas_depositos"	0.000117883120275615	0.00408224817377806	0.00363636363636364
"49"	"Visa_cuenta_estado__avg"	0.000112175166784433	0.00269710530699369	0.00363636363636364
"50"	"mprestamos_personales__max"	0.000109960388858167	0.000799219852767992	0.00727272727272727
"51"	"mv_tconsumos__avg"	0.000106690455647234	0.00213733154383032	0.00727272727272727
"52"	"mv_mfinanciacion_limite__min"	9.85091289198905e-05	0.00382127365643958	0.00727272727272727
"53"	"tmovimientos_ultimos90dias"	8.33026737130601e-05	0.00145530975596969	0.00727272727272727
"54"	"ccajeros_propio_transacciones__tend"	7.68368502526325e-05	0.00203049738683526	0.00727272727272727
"55"	"mv_mpagospesos__tend"	7.1986260007483e-05	0.00417170168355431	0.00363636363636364
"56"	"mrentabilidad__avg"	7.14044565686767e-05	0.000519858498939792	0.00363636363636364
"57"	"Master_fultimo_cierre"	7.04416935251474e-05	0.00110334827895874	0.00727272727272727
"58"	"Master_fechaalta__tend"	6.79265549302911e-05	0.00206858221359068	0.00727272727272727
"59"	"ctarjeta_visa_transacciones__max"	6.58047102748501e-05	0.00119121784617794	0.00363636363636364
"60"	"thomebanking__avg"	6.24308430100762e-05	0.00122297468283212	0.00363636363636364
"61"	"mextraccion_autoservicio"	6.21819105643143e-05	0.00210892327296655	0.00363636363636364
