"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"mcaja_ahorro_Paquete"	0.128372321891902	0.0144217179622175	0.00381625441696113
"2"	"tmovimientos_ultimos90dias"	0.0832671051844128	0.0140834113106167	0.00515901060070671
"3"	"mdescubierto_preacordado__tend"	0.077161786874558	0.00266981470114327	0.00212014134275618
"4"	"mcuentas_saldo"	0.0770023049918027	0.0169019390819489	0.0096113074204947
"5"	"cliente_antiguedad__tend"	0.0437123850173348	0.0406493831918028	0.00777385159010601
"6"	"mtarjeta_visa_consumo"	0.041749507926981	0.0127790693208077	0.00367491166077738
"7"	"mv_Finiciomora"	0.0250545765400578	0.00807811975392827	0.00551236749116608
"8"	"ctarjeta_visa_transacciones"	0.0243592455291598	0.00715506663013071	0.00325088339222615
"9"	"marketing_coss_selling"	0.0191637027885987	0.00713969495333666	0.00522968197879859
"10"	"mprestamos_personales"	0.0191401149777736	0.0223784501042338	0.0127208480565371
"11"	"mv_mpagospesos"	0.0164565256184376	0.00211195189775015	0.00113074204946996
"12"	"tmovimientos_ultimos90dias__min"	0.0163218318375078	0.00206137167406122	0.00303886925795053
"13"	"tplan_sueldo"	0.0161144695812497	0.0130891853179266	0.00459363957597173
"14"	"mv_marca_atraso"	0.0147868104109639	0.0042609047916169	0.00162544169611307
"15"	"Visa_marca_atraso__tend"	0.0114334378733186	0.00212631654468855	0.00162544169611307
"16"	"marketing_coss_selling__tend"	0.0106738722467543	0.0172888190721387	0.0072791519434629
"17"	"ttarjeta_master__tend"	0.00950089224848091	0.00011183785833263	0.000424028268551237
"18"	"ttarjeta_visa"	0.00824602377069751	0.000549005445378012	0.000565371024734982
"19"	"mplan_sueldo"	0.00807643270772598	0.0163923741029359	0.00614840989399293
"20"	"mcuenta_corriente_Paquete"	0.00735830772916115	0.00764882664090019	0.0080565371024735
"21"	"tplan_sueldo__min"	0.00715374241988807	0.00674821110143632	0.00190812720848057
"22"	"mcuentas_saldo__tend"	0.00706899033914927	0.00741528435424155	0.00565371024734982
"23"	"tmovimientos_ultimos90dias__tend"	0.00600756745688321	0.00910063501852426	0.00628975265017668
"24"	"Visa_cuenta_estado__tend"	0.00574394455668002	0.00134827714427396	0.00120141342756184
"25"	"mprestamos_personales__tend"	0.00543864681574445	0.00116441927832392	0.00346289752650177
"26"	"mpasivos_margen"	0.0052993822918171	0.00368212820788282	0.00353356890459364
"27"	"Visa_cuenta_estado"	0.00513300935802932	0.000934465668542658	0.00141342756183746
"28"	"Visa_Finiciomora"	0.00497358782928255	0.00142064396450358	0.00240282685512367
"29"	"ccomisiones_mantenimiento__tend"	0.00487104962019264	0.00707448806179442	0.00770318021201413
"30"	"mv_msaldototal"	0.00464084913929039	0.00273582474324877	0.00318021201413428
"31"	"mplan_sueldo__tend"	0.00456180624271178	0.0120941454035689	0.00720848056537102
"32"	"ttarjeta_visa__tend"	0.00447379584559069	0.00189308543898723	0.00134275618374558
"33"	"mv_msaldopesos"	0.00392283541346912	0.00279459441593149	0.00289752650176678
"34"	"Visa_cuenta_estado__max"	0.00326768227652021	0.000603843513167783	0.000212014134275618
"35"	"mv_marca_atraso__tend"	0.00291390702219559	0.00152138026846395	0.0023321554770318
"36"	"cprestamos_personales"	0.0028437484096123	0.00479489275368117	0.00346289752650177
"37"	"mactivos_margen__min"	0.00255482085712128	0.00323545597657412	0.00325088339222615
"38"	"mttarjeta_visa_debitos_automaticos__tend"	0.00248510637603607	0.0062312678968539	0.00579505300353357
"39"	"ttarjeta_visa__min"	0.00248230441287959	0.000402403850820713	0.000424028268551237
"40"	"mautoservicio"	0.00247038046029193	0.00793799290968881	0.00240282685512367
"41"	"ttarjeta_visa_debitos_automaticos__tend"	0.00243383339468778	0.00181879547051277	0.00395759717314488
"42"	"mrentabilidad"	0.00240755498960111	0.00179757988526978	0.00254416961130742
"43"	"mplan_sueldo__min"	0.00240058989510423	0.00156969226028794	0.00141342756183746
"44"	"mv_mpagominimo"	0.00238386862391581	0.00542082531717217	0.00409893992932862
"45"	"ccomisiones_mantenimiento"	0.00225109664242042	0.00486540885683377	0.00162544169611307
"46"	"mprestamos_personales__avg"	0.00221526646380501	0.000545901680127939	0.00197879858657244
"47"	"mcuenta_corriente_Paquete__tend"	0.00220717995452526	0.00582756387727285	0.00579505300353357
"48"	"mdescubierto_preacordado__avg"	0.00220423258259113	0.00393983675493611	0.00282685512367491
"49"	"mplan_sueldo__max"	0.0021519739879876	0.00195230208378178	0.00219081272084806
"50"	"mv_Finiciomora__avg"	0.00195274873073267	0.000272046302482617	0.00127208480565371
"51"	"tcaja_seguridad"	0.0019425460311668	0.0114966009705088	0.00261484098939929
"52"	"mactivos_margen"	0.00189463624265344	0.00218979445720682	0.00360424028268551
"53"	"Master_cuenta_estado"	0.00186577365722894	0.000562743314704933	0.00381625441696113
"54"	"ctarjeta_visa_transacciones__tend"	0.00185428540443043	0.00724454330841454	0.00303886925795053
"55"	"mv_mpagominimo__tend"	0.0017906635793822	0.00163976705411866	0.00261484098939929
"56"	"mpasivos_margen__tend"	0.00173467209581138	0.00116300672316142	0.00339222614840989
"57"	"mpagomiscuentas"	0.00172690180046607	0.00933845895462413	0.00204946996466431
"58"	"mcuenta_corriente_Paquete__min"	0.00167692296520795	0.00767928203929243	0.00381625441696113
