"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"tmovimientos_ultimos90dias"	0.098685914024146	0.0138846333902278	0.00641025641025641
"2"	"mcaja_ahorro_Paquete"	0.0978251800083197	0.013843696044436	0.00484330484330484
"3"	"mdescubierto_preacordado__tend"	0.0775591338857207	0.00428674747313495	0.00249287749287749
"4"	"mcuentas_saldo"	0.0727747096128119	0.0167975834883489	0.00876068376068376
"5"	"mtarjeta_visa_consumo"	0.0510867853709727	0.0169358372152056	0.00584045584045584
"6"	"cliente_antiguedad__tend"	0.0440080284013631	0.0370631459292166	0.00833333333333333
"7"	"mprestamos_personales"	0.0242482247482718	0.0205106933610408	0.0128917378917379
"8"	"Visa_marca_atraso"	0.0219948700855483	0.00374948110565282	0.00170940170940171
"9"	"mpasivos_margen"	0.0218892441433785	0.00456900469034824	0.00455840455840456
"10"	"ttarjeta_visa__min"	0.021856023399052	0.000889125837309221	0.000498575498575499
"11"	"marketing_coss_selling"	0.0214152992185125	0.00680892846535568	0.00676638176638177
"12"	"Visa_marca_atraso__tend"	0.0214031049100545	0.00382508302133441	0.0037037037037037
"13"	"tmovimientos_ultimos90dias__min"	0.0159046814434073	0.00316001078440059	0.00356125356125356
"14"	"Visa_Finiciomora"	0.0151444311197674	0.00550552515320536	0.00591168091168091
"15"	"tplan_sueldo"	0.0131763382071485	0.0136358394963555	0.00477207977207977
"16"	"ttarjeta_visa"	0.0131174406115696	0.000877062006256203	0.000641025641025641
"17"	"tplan_sueldo__min"	0.00996964499376432	0.00683181441088633	0.00277777777777778
"18"	"mcuenta_corriente_Paquete"	0.00904917183186238	0.00717323459043326	0.00904558404558405
"19"	"marketing_coss_selling__tend"	0.00894434174444117	0.0164921073759546	0.00719373219373219
"20"	"Visa_cuenta_estado__tend"	0.00877917625721834	0.00381078866493744	0.00292022792022792
"21"	"ttarjeta_visa__tend"	0.00868619151575169	0.00249560254624029	0.0014957264957265
"22"	"ctarjeta_visa_transacciones"	0.00865195160168284	0.00477827676068824	0.00413105413105413
"23"	"Visa_msaldototal"	0.00810814525624245	0.00212723571892152	0.00391737891737892
"24"	"tmovimientos_ultimos90dias__tend"	0.006477462757167	0.0081287480596743	0.00925925925925926
"25"	"mplan_sueldo"	0.00638163051230336	0.0158829398432219	0.0051994301994302
"26"	"mcuentas_saldo__tend"	0.00629625408779957	0.00730764972055408	0.00747863247863248
"27"	"mautoservicio"	0.00556260998480103	0.0082974816840398	0.00306267806267806
"28"	"ccomisiones_mantenimiento__tend"	0.00541788903707254	0.00812390446233954	0.00747863247863248
"29"	"mplan_sueldo__tend"	0.00538255772879697	0.0133472277484815	0.00776353276353276
"30"	"Master_Finiciomora"	0.00490088066083991	0.00619996143987467	0.00591168091168091
"31"	"Visa_mpagominimo"	0.00478618544945572	0.00700117924980347	0.00705128205128205
"32"	"mcuenta_corriente_Paquete__tend"	0.00411149165638785	0.00470316438894599	0.00662393162393162
"33"	"Visa_msaldopesos"	0.00379122967105486	0.00337156394809073	0.00584045584045584
"34"	"Visa_cuenta_estado"	0.00359512002896094	0.00106900918694562	0.00220797720797721
"35"	"mprestamos_personales__tend"	0.00353706118038056	0.00264162844366607	0.00534188034188034
"36"	"mactivos_margen__min"	0.00339240762014535	0.00394935029695614	0.00505698005698006
"37"	"Visa_marca_atraso__max"	0.00325079297911803	0.0014864725796279	0.00163817663817664
"38"	"mdescubierto_preacordado__max"	0.00323367610775336	0.00443108458829619	0.00185185185185185
"39"	"mactivos_margen"	0.00317746511402837	0.00293299103261328	0.00541310541310541
"40"	"mrentabilidad"	0.00303653321241845	0.00243084214630745	0.0047008547008547
