"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"modelito_109"	0.259116591711402	0.00896510076389707	0.00269648663652946
"2"	"modelito_112"	0.161840173485217	0.0335308367949525	0.0106273296851455
"3"	"modelito_111"	0.139438544611368	0.0223268210732586	0.00531366484257277
"4"	"ttarjeta_visa__tend"	0.0621981660310076	0.00165239095246283	0.000793084304861607
"5"	"modelito_100"	0.040711987964064	0.0273217312006335	0.00769291775715759
"6"	"modelito_110"	0.024670033459852	0.0112022020764116	0.00491712269014196
"7"	"mdescubierto_preacordado__min"	0.0209900543444126	8.29366993071189e-05	0.000317233721944643
"8"	"mcaja_ahorro_Paquete"	0.015735760185185	0.00392207835335906	0.00237925291458482
"9"	"mcuenta_corriente_Paquete"	0.0140316213221566	0.00268342728136133	0.00348957094139107
"10"	"modelito_104"	0.0123689556024193	0.00350777834948332	0.00277579506701562
"11"	"modelito_101"	0.00596426130391737	0.01618655036987	0.00697914188278214
"12"	"Visa_Finiciomora"	0.00584831999115462	0.000452367342182096	0.000872392735347767
"13"	"modelito_105"	0.00519572869333169	0.0160569647850098	0.00618605757792053
"14"	"marketing_coss_selling"	0.00355116226849723	0.00472177898771662	0.00277579506701562
"15"	"mvr_mpagado__avg"	0.00285858505223169	5.03795295060668e-05	0.00158616860972321
"16"	"modelito_106"	0.00282127601490526	0.00415828901127692	0.00364818780236339
"17"	"modelito_103"	0.00267654997115669	0.00203666647253359	0.0026171782060433
"18"	"marketing_coss_selling__tend"	0.00182986320652503	0.00834026746588364	0.00491712269014196
"19"	"mdescubierto_preacordado__tend"	0.00155821252928637	0.00320312074001615	0.00388611309382187
"20"	"modelito_102"	0.00154300692720214	0.00420863983194539	0.00206201919264018
"21"	"mprestamos_personales__tend"	0.00149715525287168	0.0144418068602051	0.00420334681576652
"22"	"mactivos_margen"	0.00148638065778357	0.00437172283858779	0.00388611309382187
"23"	"mactivos_margen__min"	0.00130325524998744	0.000838954316660551	0.00285510349750178
"24"	"mprestamos_personales"	0.00126536644445486	0.00412813700324533	0.00325164564993259
"25"	"mcomisiones_mantenimiento__tend"	0.00121681230466128	0.00169244688355295	0.00388611309382187
"26"	"mrentabilidad_annual__tend"	0.00121150187031226	0.00154510462675182	0.00459988896819732
"27"	"marketing_coss_selling__avg"	0.0011951245857537	0.00845653046378025	0.00404472995479419
"28"	"mpasivos_margen"	0.00116401019862903	0.0124876475477561	0.00452058053771116
"29"	"Visa_mfinanciacion_limite__min"	0.0011424073567129	0.000187503117583692	0.000951701165833928
"30"	"Master_Finiciomora"	0.00111709479889851	0.00149000362111671	0.00166547704020937
"31"	"ttarjeta_visa_debitos_automaticos__tend"	0.00104519653120165	0.00400330652191849	0.00372749623284955
"32"	"mcomisiones_otras__avg"	0.00104306298581179	0.00249172049388785	0.0018240939011817
"33"	"mv_marca_atraso__tend"	0.00104103299505819	0.00211858894991572	0.000951701165833928
"34"	"ccomisiones_otras__tend"	0.00103247753491672	0.00276689037507467	0.00380680466333571
"35"	"chomebanking_transacciones__tend"	0.00102089373604485	0.00617051819633706	0.00531366484257277
"36"	"mcuentas_saldo__tend"	0.00102006178930921	0.00109374040695243	0.00372749623284955
"37"	"marketing_coss_selling__min"	0.00101256925858953	0.00747679697970665	0.00237925291458482
"38"	"ccallcenter_transacciones"	0.00099388855748099	0.00383341997771125	0.00237925291458482
"39"	"mv_cuenta_estado2"	0.000963473705615606	0.00144065574742738	0.00118962645729241
"40"	"tcuenta_debitos_automaticos__tend"	0.000928430087969473	0.0026999126783213	0.00372749623284955
"41"	"ccallcenter_transacciones__tend"	0.000922483003914224	0.000850833779334935	0.00285510349750178
"42"	"foto_mes"	0.000907589278752378	0.00486296299366526	0.00285510349750178
"43"	"Master_fultimo_cierre"	0.000898103555871026	0.00147169717661595	0.00420334681576652
"44"	"mactivos_margen__tend"	0.000893607084522609	0.00208636773940373	0.00364818780236339
"45"	"chomebanking_transacciones"	0.00089161247277076	0.00169947908988488	0.00277579506701562
"46"	"mcuentas_saldo"	0.00087061260496422	0.00075052526770439	0.00372749623284955
"47"	"mcuenta_corriente_Paquete__min"	0.000870602203015418	0.000758322310499931	0.00269648663652946
"48"	"internet__tend"	0.000860404823954837	0.00738374641668927	0.004441272107225
"49"	"mcomisiones__avg"	0.000852822359198537	0.00137511895562578	0.0022206360536125
"50"	"mvr_msaldopesos2__tend"	0.000842330654040122	0.00118770189331062	0.00372749623284955
"51"	"Visa_mpagospesos__max"	0.000834277006441617	0.000237298970613635	0.00309302878896027
"52"	"mv_tconsumos__avg"	0.000829720364023404	0.00124740223133451	0.00166547704020937
"53"	"ctarjeta_visa_transacciones__tend"	0.000818209964138867	0.00142594346541929	0.00372749623284955
"54"	"tpagomiscuentas__tend"	0.00080700259812486	0.00548352649371687	0.00293441192798795
