"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"tmovimientos_ultimos90dias"	0.10200763580517	0.0123901137231242	0.00618941088739746
"2"	"mcaja_ahorro_Paquete"	0.0809412089665255	0.0116379502908558	0.00730797912005966
"3"	"mtarjeta_visa_consumo"	0.0682966681233299	0.0160772284386342	0.0058165548098434
"4"	"mcuentas_saldo"	0.0679538428950218	0.0167114468793353	0.00857568978374348
"5"	"mdescubierto_preacordado__tend"	0.0670703686094412	0.00301424904364071	0.00164056674123788
"6"	"cliente_antiguedad__tend"	0.0354112812995889	0.0345214705060949	0.00723340790454884
"7"	"tmovimientos_ultimos90dias__min"	0.0306572533150185	0.00293474310022564	0.00357941834451902
"8"	"Visa_Finiciomora"	0.0194908168614353	0.00407033220580373	0.00387770320656227
"9"	"tplan_sueldo"	0.0180910832644841	0.0186893368594693	0.00454884414615958
"10"	"mprestamos_personales"	0.015863825339165	0.0243826050903583	0.0109619686800895
"11"	"ttarjeta_visa__tend"	0.0143268594020005	0.00224855053216217	0.00149142431021626
"12"	"marketing_coss_selling"	0.0140377318883915	0.0088858075969869	0.00693512304250559
"13"	"mpasivos_margen"	0.0132346870337656	0.00270395035036024	0.00402684563758389
"14"	"mcaja_ahorro_Paquete__min"	0.0123579506559665	0.00167363389112355	0.00305741983594333
"15"	"Visa_marca_atraso__tend"	0.011844248273666	0.00279577960376861	0.00328113348247576
"16"	"ctarjeta_visa_transacciones"	0.0117488881383238	0.00883387323066481	0.00589112602535421
"17"	"Visa_marca_atraso"	0.0100982967423438	0.00358063814560711	0.00186428038777032
"18"	"mplan_sueldo"	0.00930405212160462	0.0163027694584511	0.00633855331841909
"19"	"ttarjeta_visa"	0.00840191435079777	0.00096595094572588	0.00149142431021626
"20"	"mcuenta_corriente_Paquete"	0.00795886746036213	0.00593239345248951	0.00715883668903803
"21"	"mcuentas_saldo__tend"	0.0076138123064989	0.00728472110683684	0.0064131245339299
"22"	"Visa_marca_atraso__max"	0.00738256688925982	0.00256498565524198	0.00119313944817301
"23"	"marketing_coss_selling__tend"	0.00737786430472875	0.0141571251527394	0.00656226696495153
